"시도별","시점","합계:면적[ha]","생산량[톤]","사과:면적[ha]","10a당 생산량[kg]","생산량[톤]","배:면적[ha]","10a당 생산량[kg]","생산량[톤]","복숭아:면적[ha]","10a당 생산량[kg]","생산량[톤]","포도:면적[ha]","10a당 생산량[kg]","생산량[톤]","감귤:면적[ha]","10a당 생산량[kg]","생산량[톤]","감:면적[ha]","10a당 생산량[kg]","생산량[톤]","단감:면적[ha]","10a당 생산량[kg]","생산량[톤]","떫은감:면적[ha]","10a당 생산량[kg]","생산량[톤]","자두:면적[ha]","10a당 생산량[kg]","생산량[톤]","매실:면적[ha]","10a당 생산량[kg]","생산량[톤]","기타:면적[ha]","10a당 생산량[kg]","생산량[톤]",
"계","2004 년","162145","2429241","26676","1339","357180","22906","1966","451861","15566","1288","200534","22909","1606","367894","22107","2643","584353","27159","1101.09356","299046","18533","1054","195361","8626","1202","103685","6600","1091","71983","","","","18222","528.97596","96390",
"계","2005 년","159612","2610769","26907","1366","367517","21735","2033","443265","15014","1490","223701","22057","1729","381436","21504","2967","637961","26831","1355.9763","363822","17199","1371","235854","9632","1329","127968","6696","1134","75963","","","","18868","620.64872","117104",
"계","2006 년","156957","2499028","28312","1439.74703","407621","20656","2088.8065","431464","13383","1448","193816","19248","1715","330049","21382","2901","620292","28436","1240.75819","352822","17304","1194","206589","11132","1314","146233","6000","1074","64419","","","","19540","504.32446","98545",
"계","2007 년","159119","2752006","29358","1484","435686","19888","2350","467426","13188","1399","184497","18843","1744","328680","21476","3621","777547","28839","1371.80207","395614","16309","1272","207472","12530","1502","188142","5803","1117","64816","","","","21724","449.91714","97740",
"계","2008 년","160939","2739588","30006","1569","470865","18277","2576","470745","12638","1496","189064","18240","1829","333596","21229","2998","636413","30669","1403.76602","430521","16259","1329","216030","14410","1488","214491","5778","1155","66748","","","","24102","587.65248","141636",
"계","2009 년","157097","2499971","30451","1624","494491","17090","2448","418368","12967","1041","134939","17996","1552","279296","21396","3399","727295","30347","915.27004","277757","14785","1161","171645","15562","682","106112","5587","854","47698","","","","21263","565","120127",
"계","2010 년","162472","2215718","30992","1485","460285","16239","1896","307820","13908","968","134665","17572","1463","257128","21143","2908","614871","31808","827.61569","263248","15244","1011","154165","16564","659","109083","5870","791","46455","","","","24940","526","131246",
"계","2011 년","161232","2102426","31167","1218","379541","15081","1926","290494","13795","926","127756","17445","1299","226590","21424","3009","644631","31339","871.5243","273127","14299","1067","152521","17040","708","120606","5724","710","40636","","","","25257","474","119651",
"계","2012 년","159658","2027194","30734","1284","394596","14353","1203","172599","14335","941","134916","17181","1369","235181","21362","3062","654031","30264","946.54044","286461","13390","1176","157409","16874","765","129052","5714","712","40687","","","","25715","423","108723",
"계","2013 년","160797","2207429","30449","1621","493701","13740","2054","282212","14633","871","127398","16931","1298","219680","21334","3072","655284","29153","909.16544","265049","12905","1125","145128","16248","738","119921","5656","727","41116","","","","28901","426","122989",
