시도별,시점,합계_면적,합계_생산량,사과_면적,사과_10a생산량,사과_생산량,배_면적,배_10a생산량,배_생산량,복숭아_면적,복숭아_10a생산량,복숭아_생산량,포도_면적,포도_10a생산량,포도_생산량,감귤_면적,감귤_10a생산량,감귤_생산량,감_면적,감_10a생산량,감_생산량,단감_면적,단감_10a생산량,단감_생산량,떫은감_면적,떫은감_10a생산량,떫은감_생산량,자두_면적,자두_10a생산량,자두_생산량,매실_면적,매실_10a생산량,매실_생산량,기타_면적,기타_10a생산량,기타_생산량
서울특별시,2012,45.0,414.0,0.0,0.0,0.0,24.0,1564.0,375.0,1.0,1100.0,11.0,3.0,533.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,109.0,12.0
서울특별시,2013,45.0,520.0,0.0,0.0,0.0,24.0,1774.0,426.0,1.0,0.0,0.0,4.0,1000.0,40.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,491.0,54.0
서울특별시,2014,43.0,546.0,0.0,0.0,0.0,24.0,1922.0,461.0,0.0,0.0,0.0,4.0,1050.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,13.0,331.0,43.0
서울특별시,2015,39.0,581.0,0.0,0.0,0.0,24.0,2072.0,497.0,0.0,0.0,0.0,2.0,1350.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,475.0,57.0
서울특별시,2016,19.0,363.0,0.0,0.0,0.0,14.0,2221.0,311.0,0.0,0.0,0.0,1.0,1600.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,900.0,36.0
서울특별시,2017,28.249,478.0,0.0823,327.0,0.0,18.3609,2217.0,407.0,0.2128,940.0,2.0,1.0122,1581.0,16.0,0.0,0.0,0.0,0.3412,2051.58265,7.0,0.0,0.0,0.0,0.3412,2052.0,7.0,0.054,1852.0,1.0,,,,8.1856,550.0,45.0
서울특별시,2018,28.8977,405.0,0.0564,0.0,0.0,19.3379,1817.0,351.0,0.2824,708.0,2.0,0.9217,1519.0,14.0,0.0,0.0,0.0,0.3311,1510.11779,5.0,0.0088,0.0,0.0,0.3223,1551.0,5.0,0.01,0.0,0.0,,,,7.9582,415.0,33.0
서울특별시,2019,25.4528,318.0,0.1076,0.0,0.0,15.9327,1818.0,290.0,0.143,0.0,0.0,0.7837,383.0,3.0,0.0,0.0,0.0,0.5452,1283.9325,7.0,0.0,0.0,0.0,0.5452,1284.0,7.0,0.0705,1418.0,1.0,2.75,109.0,3.0,5.1201,273.0,14.0
서울특별시,2020,25.0426,258.5369,0.1063,0.0,0.0,15.9993,1444.0,231.0,0.1419,34.5313601128,0.049,0.7928,392.270513991,3.1099206349,0.0,0.0,0.0,0.621,1268.7338501292,7.8788372093,0.0,0.0,0.0,0.621,1268.7338501292,7.8788372093,0.0611,445.9705236751,0.27248799,2.3324,97.3239354774,2.2699834711,4.9878,279.8169556189,13.9567101124
서울특별시,2021,43.968,203.0,0.0186,663.0,0.0,7.2268,1835.0,133.0,1.9209,41.0,1.0,0.093,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0246,57.0,2.0,30.6841,219.0,67.0
부산광역시,1980,198.6,1605.8,,,,167.0,810.0,1352.7,,,,24.2,855.0,206.9,,,,6.2,671.0,41.6,,,,,,,,,,,,,1.2,381.0,4.6
부산광역시,1981,175.0,1767.0,,,,145.0,1080.0,1566.0,,,,22.0,781.0,172.0,,,,7.0,370.0,26.0,,,,,,,,,,,,,1.0,250.0,3.0
부산광역시,1982,212.0,2271.0,4.0,1020.0,41.0,178.0,1060.0,1887.0,1.0,995.0,10.0,9.0,900.0,81.0,,,,9.0,2000.0,180.0,,,,,,,,,,,,,11.0,650.0,72.0
부산광역시,1983,174.0,1781.0,,,,139.0,1017.0,1414.0,,,,10.0,910.0,91.0,,,,4.0,700.0,28.0,,,,,,,,,,,,,21.0,1180.0,248.0
부산광역시,1984,116.0,1017.0,,,,100.0,964.0,964.0,1.0,1379.0,14.0,2.0,900.0,18.0,,,,5.0,420.0,21.0,,,,,,,,,,,,,8.0,,
